epoch,trainLoss,trainLossStandartDeviation,trainAccuracy,trainAccuracyStandartDeviation,validationLoss,validationLossStandartDeviation,validationAccuracy,validationAccuracyStandartDeviation
1,3.0182062336467803,0.01425117848688231,4.8943014705882355,1.3611576334930573,3.0069043982413506,0.039463907944498194,4.933215725806452,2.7929126811071248
2,2.995079952765276,0.016230940980992082,5.912642045454546,1.593531348271198,2.9845754100430395,0.034608406091889074,6.716229838709677,4.040862716087856
3,2.9731650052861096,0.01829940874135396,6.802515040106952,1.588751374890349,2.964177095120953,0.03770778415682057,7.261214717741935,4.23427761486515
4,2.9518296444479795,0.02107222713935865,7.65478776737968,1.6347300120923915,2.943736159032391,0.03884043250819099,8.004662298387096,3.310661067464314
5,2.9300771766805394,0.02599331067965016,8.276236631016042,1.811242169067526,2.9214170940460695,0.04597476307982685,7.951108870967742,3.6624369135739676
6,2.903044690422833,0.027731192236492147,8.816218248663102,1.8263605103976728,2.8919868276965235,0.05500036971135733,9.069430443548388,3.314028566418507
7,2.865316118148559,0.029805867708269387,9.636112967914439,1.8548653655554577,2.846520350825402,0.05316097782127692,9.860131048387096,4.085892857165444
8,2.8230673922574456,0.0347274849123848,10.65863135026738,1.956504815117763,2.8030654788017273,0.06457985296051738,11.517137096774194,4.600718198185777
9,2.783018355063576,0.03841149120721815,11.809617312834225,1.9182168319137867,2.7647211032529033,0.0786550308236555,12.310987903225806,5.030279182218751
10,2.746700295789994,0.04003479673328139,12.284842914438503,2.054772122623095,2.740501282676574,0.09202514932778738,12.689012096774194,5.084538606236689
11,2.715712547302246,0.04394254077053768,13.028492647058824,2.1147424334946336,2.7067566552469806,0.09396325349077186,13.328503024193548,5.1897226794436895
12,2.6906482440265105,0.04380179519185443,13.582052139037433,2.1334519108370786,2.6834960752917874,0.09202408509735709,13.763230846774194,4.586688139383885
13,2.6668150023343093,0.0449847322321691,14.19723429144385,2.0664508655400957,2.6622719668572947,0.09141222581723057,14.468876008064516,4.764674472220937
14,2.644468505114795,0.04659621424752999,14.605614973262032,2.039473011057993,2.643433645848305,0.0849842433527957,15.007560483870968,4.627550740207668
15,2.627089319382122,0.04939104160163427,15.167530080213904,2.2061098259951915,2.624004150590589,0.08113357767023487,15.637600806451612,4.51662016979901
16,2.6093415162142586,0.04676269368342666,15.68975601604278,2.2901950335050536,2.6194201650158053,0.09115334565504131,15.467489919354838,4.583953612403217
17,2.5950485633656304,0.05191630909137256,16.068892045454547,2.315029635101667,2.6045536879570252,0.07680838426198763,15.79196068548387,4.370467377221179
18,2.583435494632007,0.046637373412918,16.237048796791445,2.272320207234544,2.5924942743393684,0.08621964481769498,16.403099798387096,4.411752482115535
19,2.5710285379287394,0.049904584128510794,16.584851270053477,2.2298176658659963,2.5804607137557,0.09049161934501367,16.910282258064516,4.826355616744585
20,2.558384076159268,0.04899092984535607,16.97756517379679,2.421741570615721,2.5692401509131155,0.08259532372334259,16.863029233870968,4.310805456173477
21,2.5510730520289213,0.051148138951090064,17.169744318181817,2.354191043386134,2.573833067570963,0.09095135526904856,16.752772177419356,4.333436391937215
22,2.5381723865468233,0.05319341198257999,17.440257352941178,2.2349893677322976,2.557413174260047,0.07840966734453038,17.30405745967742,4.375196837806985
23,2.529240032568335,0.051419258278386615,17.798504344919785,2.263517098256702,2.545983429877989,0.07745379559189489,17.678931451612904,4.570498537896938
24,2.5203979901451476,0.05513603421101636,17.95934993315508,2.3609882495904566,2.5456097549007786,0.08219821181927203,17.644279233870968,4.581752469944657
25,2.5118226622515185,0.05373277648520562,18.1640625,2.3667456866514525,2.5322508696586854,0.09696679096699608,18.038054435483872,4.604077584822721
26,2.5037670747481564,0.05501096764747846,18.405330882352942,2.519003991912719,2.5296703327086663,0.084411639845626,17.978200604838708,4.354470942747754
27,2.494634341428624,0.05173288666760769,18.7228442513369,2.537350026795604,2.523679579457929,0.09785797673154363,18.466481854838708,4.827519264296166
28,2.4868101334189348,0.05804310688855147,18.97769050802139,2.4460438474155404,2.515140473842621,0.09468210713532714,18.520035282258064,4.800339816168819
29,2.4803148673817437,0.05380145901891105,19.03409090909091,2.4433111567633543,2.513883606080086,0.10001874096408905,18.387726814516128,4.711112556819879
30,2.4714647620756995,0.05485148784101702,19.258648061497325,2.3559780764300213,2.5092260203053876,0.09886357523365522,18.765751008064516,4.65388209368906
31,2.464747365783243,0.057756578254434913,19.62002840909091,2.561633357882033,2.5006600599135123,0.09335630481138821,18.803553427419356,4.588626317773836
32,2.4588657980934183,0.05489998230450029,19.720295788770052,2.28016856995715,2.4974629840543194,0.0934360696707845,19.143775201612904,4.6865800423864
33,2.4523523127968936,0.052935342399432934,19.919786096256683,2.3776230550339017,2.4914399000906173,0.10375990503966279,18.831905241935484,5.006196690505173
34,2.4463414616763273,0.05213862842022279,20.124498663101605,2.484310836321707,2.48669683740985,0.10212134063446589,19.383190524193548,4.960345311568126
35,2.4400345558788685,0.060059970613112405,20.119276403743317,2.3974029382211794,2.4902091526216075,0.10675512873187445,19.417842741935484,4.851785036488123
36,2.4338052024178327,0.05506188403685273,20.449323195187166,2.4671511877711523,2.497374907616646,0.10161072389989702,19.405241935483872,5.028826986616868
37,2.429029448784609,0.05814113271373494,20.673880347593585,2.510005389892803,2.47678062031346,0.09682133911699085,19.411542338709676,4.81599377292879
38,2.4218536309379943,0.06059289339916419,20.83681483957219,2.448149737046404,2.4717494499298835,0.09700953988540062,19.839969758064516,5.070916631309995
