epoch,trainLoss,trainLossStandartDeviation,trainAccuracy,trainAccuracyStandartDeviation,validationLoss,validationLossStandartDeviation,validationAccuracy,validationAccuracyStandartDeviation
1,2.93894234530131,0.024203486985662707,8.086458333333333,1.677602792222349,2.897032569885254,0.02021109333249922,9.428125,1.7748954634710181
2,2.9059249108632406,0.02504372280579903,8.65,1.852097979882094,2.8851076755523684,0.029035153415222094,9.3625,1.8207892347825434
3,2.899532651901245,0.02407005050723306,8.840625,1.6703916706369595,2.890129041671753,0.022545660461971543,9.378125,1.80229887920955
4,2.8984095617930095,0.027105358789220435,8.905208333333333,1.7904774396248493,2.885868330001831,0.02601984039508308,9.3625,1.8207892347825434
5,2.8953829650878906,0.025103197016589193,8.990625,1.8638889535726102,2.887876667022705,0.023844656600208215,9.44375,1.7897712842707028
6,2.8928093128204346,0.026234239201905037,9.126041666666667,1.883517690091837,2.8754915103912353,0.026247778972105874,10.103125,1.9573978261968108
7,2.877362325668335,0.029026987168243666,9.735416666666667,1.8418021726166889,2.8524916324615477,0.028290863906766547,10.865625,1.9342109179197597
8,2.855650854110718,0.03059014569510529,10.310416666666667,1.9936003296311815,2.824782262802124,0.03141624344679625,11.084375,1.9076992441813256
9,2.8233452841440836,0.03673929793547157,11.34375,1.99938955527681,2.761444482803345,0.03940853420736959,12.578125,2.0787710461953237
10,2.760037095387777,0.04322849841151655,13.496875,2.0568040033832427,2.694077798843384,0.0358043358689019,15.296875,2.0766559657295187
11,2.691840353647868,0.050469781687127485,15.107291666666667,2.3006726446966668,2.6064276466369627,0.04238944906000627,16.165625,2.139988500261158
12,2.640378029505412,0.054302186734057366,16.057291666666668,2.3670485497356313,2.5549049320220947,0.046493643431265094,18.88125,2.206913851966134
13,2.597944631576538,0.05233761057511347,17.782291666666666,2.564877369415327,2.5174966163635255,0.05188152210425176,20.65,2.4071345776669824
14,2.5653463649749755,0.05716830050480257,19.254166666666666,2.4541131679228285,2.499854684829712,0.05505051007207321,21.784375,2.582683470007504
15,2.530736905415853,0.05514129517147378,20.502083333333335,2.435000499087332,2.4567648849487305,0.050251037376654144,22.428125,2.555145696677589
16,2.498961441675822,0.056719778570170985,21.636458333333334,2.8260061507167475,2.4325147762298585,0.05401103928743381,23.621875,2.5857255388961917
17,2.475067523956299,0.06392402709539374,22.452083333333334,2.783674427078753,2.398759353637695,0.05892517419814141,24.08125,2.8307808662098872
18,2.4482142594655354,0.06206771705584604,23.296875,2.6930961600142194,2.399789131164551,0.062479062419542215,24.3375,2.7373751398465647
19,2.4231594721476237,0.06582159935432566,23.996875,2.761842399106075,2.3755361595153808,0.05913736060968,25.359375,2.7517749953439146
20,2.407462023417155,0.06608463309417308,24.426041666666666,2.5523010111248414,2.3682492485046387,0.06920208919864095,25.365625,2.739390043878381
21,2.386313746770223,0.066273966829786,25.098958333333332,2.7974811183703974,2.338010190963745,0.06427118669288816,26.03125,2.728520518293751
22,2.3726799411773682,0.06647444048627657,25.405208333333334,2.5846254329152263,2.3256206645965576,0.062327341480700384,26.465625,2.5753564680447636
23,2.358947090148926,0.06782366614470692,25.790625,2.9787922258861896,2.3233875637054444,0.05931252132201561,26.49375,2.6727721447029484
24,2.3447272904713947,0.06289432864146563,26.286458333333332,2.5212099408760515,2.305202074050903,0.06306020584654608,27.00625,2.6710726134364076
25,2.333053675333659,0.05999166292518284,26.44375,2.6652225907667324,2.298810190200806,0.06204794463790508,27.003125,2.667703249051513
26,2.3230016454060873,0.06512962540978037,26.965625,2.8179645986361623,2.299996410369873,0.06771144104100106,26.95,2.7325869153606073
27,2.308877157847087,0.06582153524168935,27.19375,2.862312357386943,2.2917023696899412,0.07030798124988372,27.2125,2.6754562986993453
28,2.2973909962972003,0.06626125419922266,27.5625,2.7958418715716618,2.2793684673309325,0.06410992339709495,27.63125,2.7086486194687565
29,2.289975444157918,0.06700507635596575,27.735416666666666,2.6746450471926595,2.270377723693848,0.06387151972524363,27.9125,2.564359081720031
30,2.2786054725646974,0.06697247732395019,28.070833333333333,2.8291455724544976,2.270307336807251,0.06546214385361801,27.96875,2.5445253732277853
31,2.2707391134897867,0.07180706807964644,28.273958333333333,2.8678345186549534,2.274545295715332,0.06834501860657545,28.296875,2.606800751160318
32,2.2612181879679363,0.0683687370822276,28.441666666666666,2.7879102525707116,2.2617333278656004,0.06389540341753729,28.575,2.5622408405534403
33,2.253232835769653,0.06929124141528405,28.584375,2.7534589988473286,2.2614354457855224,0.06574005836056487,28.521875,2.601449415710404
34,2.2477998778025308,0.06845630790154456,28.73125,2.901004450688876,2.252081226348877,0.06349424569291487,28.709375,2.6542382087427647
35,2.239381320317586,0.06530975314854864,29.152083333333334,2.9104386631237493,2.2513511867523195,0.06600904716474455,28.55,2.568407823925164
36,2.234701717376709,0.0702386510919076,29.2375,2.816572283305247,2.267573736190796,0.0714120075687814,28.49375,2.6669380558516917
37,2.2243002115885417,0.07215717922166667,29.3375,2.7955903707148035,2.2426795291900636,0.06718419805911476,29.071875,2.6467034330464756
38,2.2224257939656575,0.07226804319291358,29.74375,2.792771081291841,2.2510948581695556,0.06633150681305906,28.74375,2.4696319627122585
39,2.214885114034017,0.07058698459426667,29.8125,2.9711886913461645,2.237654588699341,0.065267236675894,29.26875,2.542210068277207
40,2.207645309448242,0.07306239456460346,29.838541666666668,2.921981764240762,2.2361733589172363,0.06907324748545218,29.365625,2.6000788750055253
41,2.2017979590098062,0.07098885139057463,29.911458333333332,2.815372761238238,2.235081283569336,0.06659921111586342,29.275,2.4568065527224565
