epoch,trainLoss,validationLoss,accuracy
1,2.8919054964625044,2.88535464526965,8.731497095746674
2,2.8777969256954545,2.831360593606602,11.204796702267192
3,2.758891365466942,2.6740736943793455,16.785335082131034
4,2.6266817113813117,2.602505147349164,19.405408781462743
5,2.551404544844019,2.5740724332283023,20.19861345325089
6,2.4927291410847845,2.4886167844136557,22.368996315033414
7,2.442980862584392,2.4488504937196773,23.54631191056149
8,2.401889157780327,2.45622320453929,23.683717444257073
9,2.3653012748364324,2.3880885345753704,25.185809755792892
10,2.333775541018998,2.385553008902044,25.251389669602148
11,2.309728089245883,2.3703076911519094,25.81350321653863
12,2.288933965421253,2.3450586239928706,26.475548060708263
13,2.2683377192644096,2.335583293455082,26.809693335831614
14,2.2473544692214027,2.32916502986527,27.068890138030103
15,2.230458142061775,2.3130345025133145,27.499843857348072
16,2.212634742737015,2.306859027735559,27.815252014240208
17,2.1941842504214404,2.303362425288972,27.93392042970458
18,2.1789162172439687,2.3043411873422,28.193117231903067
19,2.1605335206886718,2.282200770898997,28.452314034101555
20,2.144976059981177,2.2943031356631165,28.264942851789396
21,2.130475151478677,2.2852287250785883,28.549122478296173
22,2.1154875238994943,2.2810348206878,28.764599337955154
23,2.1007664036774365,2.292505630316022,28.608456686028354
24,2.08653157922215,2.277553329386767,28.858284929111235
25,2.0707669882246575,2.2748443937846643,28.98944475672975
26,2.057892182547375,2.276663168165657,29.136218849540942
27,2.0445366744959883,2.2757642377838265,29.282992942352134
28,2.0296078361134664,2.274626449466191,29.589032540128663
29,2.0168452583019594,2.3011785444451798,28.88639060645806
30,2.005319179175715,2.2801048993602713,29.52657547935794
31,1.9931256208024275,2.286628081286157,29.436012741240397
32,1.978176196053118,2.282245371434178,29.445381300356004
33,1.9667930757738261,2.29671212103669,29.005059021922428
34,1.9528098529326952,2.299676027715515,29.345450003122853
35,1.9437767677601911,2.3007392939737383,28.983199050652676
36,1.9313157483306493,2.3148769309478876,29.18306164511898
37,1.916856523348438,2.3075392604075233,29.261132971082382
38,1.9059096987267194,2.32740100485404,29.233027293735557
39,1.8938991126132296,2.3223468148129833,29.376678533508212
40,1.8807038352188858,2.322115704044025,29.22365873461995
41,1.8683602471390581,2.338014822525621,29.2455187058897
42,1.858723113912384,2.3546089194014685,29.204921616388734
43,1.846565839928792,2.3521948224949765,29.061270376616076
44,1.8373741704963427,2.364362045585547,28.702142277184436
45,1.8239843828295883,2.366312406532293,29.083130347885827
46,1.813787361267498,2.3752815697062255,28.6990194241459
47,1.8041803588540644,2.3731144323361506,29.117481731309724
48,1.7916879819075573,2.3951054850566336,29.0893760539629
49,1.7826415521530192,2.383565518717712,29.226781587658486
50,1.7685309686552582,2.398082977797282,28.87077634126538
51,1.7624429789121474,2.428487499651743,28.81768783961027
52,1.747282910727869,2.42579351213958,28.908250577727813
53,1.7375521252429118,2.4444736914098333,28.951970520267317
54,1.7286010732894919,2.4473853474903446,28.83954781088002
55,1.7168508377297027,2.4446599510144744,28.783336456186372
56,1.7084461978603775,2.462415835418258,28.577228155642995
57,1.6966202895735742,2.4700959959971853,28.549122478296173
58,1.6848667076625665,2.4796823593821293,28.436699768908873
59,1.6736978003588787,2.491362443803274,28.399225532446444
60,1.664669964813123,2.5072324454512636,27.937043282743115
61,1.6562479844368503,2.5295998649574534,28.321154206483044
62,1.6466161791241218,2.54736855128191,28.26806570482793
63,1.6331425596289688,2.5469066189852954,28.436699768908873
64,1.6235715533081994,2.5544352252823925,28.51164824183374
65,1.6150308711549746,2.5706841069764064,28.00886890262944
66,1.603861317822171,2.5832513744637056,28.26806570482793
67,1.5941342582189995,2.5905045744972357,28.421085503716196
68,1.5835514725349495,2.6139188398018476,28.196240084941603
69,1.5745160885790654,2.6181380684866715,27.9620261070514
70,1.5622447361861493,2.6345243529178655,28.311785647367437
71,1.5530463051137167,2.627467568709457,28.00262319655237
72,1.5436159004894388,2.6491578555212842,27.82462057335582
73,1.5328688805399946,2.6704665239802394,27.843357691587034
74,1.5219450189176866,2.689642078491863,27.693460745737305
75,1.5158686895068259,2.71717305627458,27.193804259571543
76,1.5027381480357374,2.721753356428613,27.72156642308413
77,1.496741827022969,2.7409443701611313,27.2156642308413
78,1.4830086404937186,2.731833927651183,27.60289800761976
79,1.4757890815794912,2.8060141176936493,27.715320717007057
80,1.466014669309603,2.7705715718465016,27.41864967834614
81,1.4559644302456103,2.817089301449363,27.449878208731498
82,1.445625620508142,2.8421410563645657,27.01580163637499
83,1.4380068682170208,2.81682205066177,27.334332646305665
84,1.4271074190182946,2.85906072474756,26.990818812066703
85,1.4188688405180299,2.8904704036662614,27.168821435263258
86,1.4063711324901593,2.882107304198463,27.022047342452066
87,1.4011752421224304,2.8987887772024106,27.090750109299858
88,1.3888623719285615,2.9268501409472623,26.85341327837112
89,1.3803460464694903,2.972200259345735,26.875273249640873
90,1.3677597191502873,2.9375672622278253,27.000187371182314
91,1.3640883941521857,2.9763480257432544,26.69727062644432
92,1.3523369760104382,3.0142940116713404,27.003310224220847
93,1.3479858636161306,3.0304131634744205,27.05639872587596
94,1.3332796068229245,3.0367460113857994,26.612953594403848
95,1.323484282541481,3.0875801342311413,26.506776591093622
96,1.3178337902731707,3.085119436015181,26.98769595902817
97,1.3058051509676536,3.0815074103559534,26.803447629754544
98,1.2998837836954829,3.087015230646289,26.76597339329211
99,1.2912336308743868,3.1402800543289944,26.903378926987696
100,1.280316727815362,3.1397118191680042,26.597339329211167
