epoch[66],train_loss[1.4523117917394293],test_loss[2.628172738630569],accuracy[29.00193616888389]

epoch[67],train_loss[1.4352036551728968],test_loss[2.664863653554065],accuracy[28.998813315845357]

epoch[68],train_loss[1.423449781507125],test_loss[2.6693725136380513],accuracy[28.939479108113172]

epoch[69],train_loss[1.411130136317515],test_loss[2.704310593915666],accuracy[29.061270376616076]

epoch[70],train_loss[1.3980292900212692],test_loss[2.697082295303721],accuracy[28.983199050652676]

epoch[71],train_loss[1.3839982598717593],test_loss[2.74327311330565],accuracy[28.639685216413717]

epoch[72],train_loss[1.3725856752557413],test_loss[2.7327869831603646],accuracy[28.502279682718132]

epoch[73],train_loss[1.3571404923172878],test_loss[2.759229520238188],accuracy[28.76772219099369]

epoch[74],train_loss[1.346158168690196],test_loss[2.832498939306402],accuracy[28.180625819748922]

epoch[75],train_loss[1.3325196916493651],test_loss[2.8288942134608916],accuracy[28.633439510336643]

epoch[76],train_loss[1.319400808405118],test_loss[2.8385749770673105],accuracy[28.51164824183374]

epoch[77],train_loss[1.301979863061154],test_loss[2.879555082836393],accuracy[27.977640372244082]

epoch[78],train_loss[1.2907993588517297],test_loss[2.906801486177631],accuracy[28.20560864405721]

epoch[79],train_loss[1.2775488789485907],test_loss[2.942310874105192],accuracy[28.727125101492724]

epoch[80],train_loss[1.26480525860015],test_loss[2.96426839618827],accuracy[28.03385172693773]

epoch[81],train_loss[1.2497337710456036],test_loss[3.0142783502019195],accuracy[27.75279495346949]

epoch[82],train_loss[1.2384661705838709],test_loss[3.005934574834695],accuracy[28.14315158328649]

epoch[83],train_loss[1.2243169155181395],test_loss[3.080721041508613],accuracy[28.13690587720942]

epoch[84],train_loss[1.211395245373308],test_loss[3.076690081035344],accuracy[28.10567734682406]

epoch[85],train_loss[1.199695788229046],test_loss[3.089615541472068],accuracy[27.57791518331147]

epoch[86],train_loss[1.18481119286166],test_loss[3.1290015723568145],accuracy[28.15876584847917]

epoch[87],train_loss[1.1720710237967755],test_loss[3.200120425851212],accuracy[27.56542377115733]

epoch[88],train_loss[1.155589614862606],test_loss[3.204692246190062],accuracy[27.490475298232464]

epoch[89],train_loss[1.145684550207624],test_loss[3.2004381051539155],accuracy[27.587283742427083]

epoch[90],train_loss[1.1329645524407337],test_loss[3.2482165504935887],accuracy[27.72156642308413]

epoch[91],train_loss[1.1168492147749691],test_loss[3.273921293438311],accuracy[27.459246767847105]

epoch[92],train_loss[1.107918960926417],test_loss[3.3175925045961683],accuracy[27.39366685403785]

epoch[93],train_loss[1.0920978650060673],test_loss[3.3677407746966925],accuracy[27.509212416463683]

epoch[94],train_loss[1.0803364283566967],test_loss[3.410735772391797],accuracy[27.56542377115733]

epoch[95],train_loss[1.0713769239311617],test_loss[3.4402047071307402],accuracy[27.090750109299858]

epoch[96],train_loss[1.0518265463257888],test_loss[3.48123138645261],accuracy[27.25001561426519]

epoch[97],train_loss[1.0431370376504634],test_loss[3.500827108061773],accuracy[27.259384173380802]

epoch[98],train_loss[1.028259786794267],test_loss[3.5872578967720257],accuracy[27.05639872587596]

epoch[99],train_loss[1.013616788294869],test_loss[3.5720681458438004],accuracy[26.972081693835488]

